director,genre,stars,title,year
Clint Eastwood,,"Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum, Laurence Fishburne",Mystic River,2003
Neill Blomkamp,,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt, Sylvaine Strike",District 9,2009
Taika Waititi,,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo, Idris Elba",Thor: Ragnarok,2017
Stephen Chbosky,,"Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts, Mark Dozlaw",Wonder,2017
Edgar Wright,,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis, Dylan Moran",Shaun of the Dead,2004
Howard Hawks,,"Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers, Dorothy Malone",The Big Sleep,1946
Steven Spielberg,,"Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace, Robert MacNaughton",E.T. the Extra-Terrestrial,1982
J.J. Abrams,,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy, Eric Bana",Star Trek,2009
Alfonso Cuarón,,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine, Juan Gabriel Yacuzzi",Children of Men,2006
Tony Scott,,"Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer, Gary Oldman",True Romance,1993
Cameron Crowe,,"Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand, Jason Lee",Almost Famous,2000
Wes Anderson,,"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman, Wallace Wolodarsky",Fantastic Mr. Fox,2009
"Andrew Adamson, Vicky Jenson",,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel",Shrek,2001
Cecil B. DeMille,,"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson, Yvonne De Carlo",The Ten Commandments,1956
Doug Liman,,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson, Jonas Armstrong",Edge of Tomorrow,2014
Stephen Chbosky,,"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd, Dylan McDermott",The Perks of Being a Wallflower,2012
Yoshifumi Kondô,,"Yoko Honna, Issey Takahashi, Takashi Tachibana, Shigeru Muroi, Shigeru Tsuyuguchi",Whisper of the Heart,1995
